"COUNTRY_CODE/CODE_PAYS","START_DATE/DATE_DE_DÉBUT","END_DATE/DATE_DE_FIN","COUNTRY_LABEL_EN/MARQUE_DE_PAYS_AN","COUNTRY_LABEL_FR/MARQUE_DE_PAYS_FR","PROVINCE_CODE/CODE_PROVINCE","PROVINCE_LABEL_EN/MARQUE_DE_PROVINCE_AN","PROVINCE_LABEL_FR/MARQUE_DE_PROVINCE_FR","STATE_CODE/CODE_D_ÉTAT","STATE_LABEL_EN/MARQUE_D_ÉTAT_AN","STATE_LABEL_FR/MARQUE_D_ÉTAT_FR"
"670","196601","---","Northern Mariana Islands","Mariannes du Nord, Îles","","","","","",""
"671","196601","---","Marshall Islands","Marshall, Îles","","","","","",""
"672","196601","---","Micronesia, Federated States of","Micronésie, États fédérés de","","","","","",""
"673","198901","199112","Trust Territories","Trust Territories","","","","","",""
"673","199201","---","Pacific Islands","Îles du Pacifique","","","","","",""
"716","196601","---","Guyana","Guyana","","","","","",""
"719","196601","201612","Falkland Islands (Malvinas)","Îles Falkland (Malouines)","","","","","",""
"719","201701","---","Falkland Islands (Malvinas)","Falkland, Îles (Malvinas)","","","","","",""
"720","201701","---","South Georgia and the South Sandwich Islands","Géorgie du Sud-et-les îles Sandwich du Sud","","","","","",""
"744","196601","---","Argentina","Argentine","","","","","",""
"747","196601","---","Bolivia","Bolivie","","","","","",""
"752","196601","---","Brazil","Brésil","","","","","",""
"755","196601","---","Chile","Chili","","","","","",""
"758","196601","---","Colombia","Colombie","","","","","",""
"763","196601","---","Ecuador","Équateur","","","","","",""
"766","196601","---","French Guiana","Guyane française","","","","","",""
"769","196601","---","Paraguay","Paraguay","","","","","",""
"774","196601","---","Peru","Pérou","","","","","",""
"777","196601","---","Suriname","Suriname","","","","","",""
"782","196601","---","Uruguay","Uruguay","","","","","",""
"785","196601","---","Venezuela","Venezuela","","","","","",""
"813","196601","---","Bahamas","Bahamas","","","","","",""
"815","196601","---","Bermuda","Bermudes","","","","","",""
"817","197501","---","Belize","Belize","","","","","",""
"822","196601","---","Barbados","Barbade","","","","","",""
"823","196601","---","Virgin Islands, British","Vierges britanniques, Îles","","","","","",""
"824","198801","---","Jamaica","Jamaïque","","","","","",""
"825","197801","---","Cayman Islands","Caïmans, Îles","","","","","",""
"827","196601","---","Turks and Caicos Islands","Turks-et-Caïcos, Îles","","","","","",""
"828","196601","---","Trinidad and Tobago","Trinité-et-Tobago","","","","","",""
"829","196601","---","Montserrat","Montserrat","","","","","",""
"830","196601","---","Anguilla","Anguilla","","","","","",""
"831","196601","---","Saint Kitts and Nevis","Saint-Kitts-et-Nevis","","","","","",""
"832","196601","---","Antigua and Barbuda","Antigua-et-Barbuda","","","","","",""
"833","196601","---","Dominica","Dominique","","","","","",""
"834","196601","---","Grenada","Grenade","","","","","",""
"835","196601","---","Saint Lucia","Sainte-Lucie","","","","","",""
"836","196601","---","Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines","","","","","",""
"845","196601","---","Costa Rica","Costa Rica","","","","","",""
"848","196601","---","Cuba","Cuba","","","","","",""
"855","196601","---","Dominican Republic","Dominicaine, République","","","","","",""
"857","196601","---","El Salvador","El Salvador","","","","","",""
"862","198801","---","Guadeloupe","Guadeloupe","","","","","",""
"863","198801","---","Martinique","Martinique","","","","","",""
"864","196601","---","Guatemala","Guatemala","","","","","",""
"867","196601","---","Haiti","Haïti","","","","","",""
"869","196601","---","Honduras","Honduras","","","","","",""
"870","201401","---","Curaçao","Curaçao","","","","","",""
"871","201401","---","Sint Maarten (Dutch part)","Saint-Martin (partie néerlandaise)","","","","","",""
"872","201401","---","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","","","","","",""
"873","201910","---","Saint Martin (French part)","Saint-Martin (partie française)","","","","","",""
"874","196601","---","Mexico","Mexique","","","","","",""
"875","201910","---","Saint Barthélemy","Saint-Barthélemy","","","","","",""
"876","196601","201312","Netherlands Antilles","Antilles néerlandaises","","","","","",""
"877","196601","---","Aruba","Aruba","","","","","",""
"879","196601","---","Nicaragua","Nicaragua","","","","","",""
"883","196601","---","Panama","Panama","","","","","",""
"886","199001","---","Puerto Rico","Porto Rico","","","","","",""
"886","196601","198912","Puerto Rico","Porto Rico","","","","","",""
"887","199001","---","Virgin Islands, United States","Vierges des États-Unis, Îles","","","","","",""
"887","196601","198912","United States Virgin Islands","Îles Vierges, États-Unis","","","","","",""
